id	text	target label	predicted label
0.0	Лосин хватило на один день))	negative	neutral
2.0	КАЧЕСТВО ОЧЕНЬ ХОРОШЕЕ.РАЗМЕРНАЯ СЕТКА СООТВЕТСТВУЕТ.	positive	neutral
10.0	велико и смотрится как мешок	negative	neutral
12.0	Добрый день. Никаких нареканий к персоналу отеля и к номерам нет. Но было очень неприятно когда после выезда из отеля 05.12.2016 полностью расплатившись за номер, спустя 2 дня банк отеля вновь снял сумму в 17000 рублей(сумма проживания за номер со 2.12 по 5.12). Обратившись по телефону на рецепцию отеля и объяснив ситуацию о двойной оплате - не получила никаких разъяснений. Мне предложили самой разобраться в этой ситуации и позвонить в мой банк. Это сильно испортило впечатление об отеле.	positive	neutral
20.0	"Весь шум из коридора был постоянно слышен в комнате, и постоянно несло сигаретами, хотя комната как бы для некурящих. ""Двуспальная кровать"" состояла из двух сдвинутых односпальных кроватей на колесиках, которые постоянно разъезжались, - романтика! Также неожиданно, что ""отель"" предлагает номера без собственной ванной. Зато завтрак вкусный и обильный, но за него отдельная плата."	negative	neutral
32.0	Не понравился. Очень тонкая ткань, просвечивается. И фасон не совсем такой как на фото. Коротковат и выглядит мешковато.	negative	neutral
49.0	Delivery is fast, but the product has come damaged, in the material there is a hole.	negative	neutral
59.0	Шло медленно - 1,5 мес до Москвы, трек не отслеживался	positive	neutral
63.0	носочки так и не пришли спустя почти 3 месяца. это был второй заказ у этого продавца. в первый раз пришли отличные носочки) поэтому и решила заказать ещё. но не дождалась. но! денежки вернули. возможно это и не в продавце дело а в почте России.	positive	negative
85.0	-	negative	neutral
90.0	 Синтетика ужасная ((((	negative	neutral
96.0	тяпки короткие,на низких	positive	neutral
99.0	"Доставка месяц. Заказывала синий цвет, пришёл заказ цвета ""застиранный черный"". С размерным рядом все норм. Тип материала как русские детские колготки (20 лет назад ходила в таких в садик). Поясок- простроченный на 1 раз верх, с резинкой внутри (опять же как в колготках)."	negative	neutral
112.0	дырявая и грязная для зимы слишком тонкая	negative	neutral
